display_order,code,name,category,tier,rx_required,is_base_included,absolute_price_paise,delta_paise,price_type,per_unit_addon_paise,hourly_addon_paise,consumables_borne_by,consumables_note,duration_min,description
1,intramuscular_im_injection,Intramuscular (IM) injection,Injections & Infusions,base,case_by_case,true,19900,0,fixed,,,patient,Either,15,"Administer IM medication; site selection, aseptic technique"
2,subcutaneous_sc_injection,Subcutaneous (SC) injection,Injections & Infusions,base,case_by_case,true,19900,0,fixed,,,patient,Either,10,"SC drug e.g. insulin, LMWH; rotate sites"
3,iv_injection,IV Injection,Injections & Infusions,standard,case_by_case,false,29900,10000,fixed,,,patient,Patient,Variable,Fixed Cost plus hourly charges
4,iv_drip,IV Drip,Injections / IV therapy,standard,case_by_case,false,39900,20000,per_drip_hourly,,15000,patient,Patient (IV set/fluid) unless medic carries,60,IV fluid/drip administration. Priced per drip; medic bills additional hours at visit.
5,basic_dressing_minor_cut_bruise_abrasion,Basic dressing (minor cut/bruise/abrasion),Wound & Skin Care,standard,no,false,29900,10000,fixed,,,patient,Either,15,Clean & dress a minor wound
6,simple_wound_dressing,Simple wound dressing,Wound & Skin Care,standard,case_by_case,false,39900,20000,fixed,,,patient,Either,20,Clean & redress uncomplicated wound
7,complex_large_wound_dressing,Complex / large wound dressing,Wound & Skin Care,advanced,yes,false,59900,40000,fixed,,,patient,Sanocare,45,Multi-layer dressing of large/complex wound
8,post_operative_surgical_wound_dressing,Post-operative surgical wound dressing,Wound & Skin Care,advanced,yes,false,59900,40000,fixed,,,patient,Sanocare,30,Aseptic post-op dressing; wound assessment
9,suture_removal,Suture removal,Wound & Skin Care,advanced,yes,false,39900,20000,per_unit_addon,10000,,patient,Sanocare,30,Remove sutures; assess healing
10,staple_removal,Staple removal,Wound & Skin Care,advanced,yes,false,39900,20000,per_unit_addon,10000,,patient,Sanocare,20,Remove surgical staples with remover
11,surgical_drain_care_output_monitoring,Surgical drain care & output monitoring,Wound & Skin Care,advanced,yes,false,79900,60000,fixed,,,patient,Sanocare,20,"Empty/measure drain, secure, chart output"
12,surgical_drain_removal,Surgical drain removal,Wound & Skin Care,advanced,yes,false,79900,60000,fixed,,,patient,Sanocare,20,Remove drain per order; dress site
13,pressure_ulcer_bedsore_assessment_dressing,Pressure ulcer / bedsore assessment & dressing,Wound & Skin Care,advanced,case_by_case,false,59900,40000,fixed,,,patient,Sanocare,45,"Stage, clean & dress pressure ulcer"
14,diabetic_foot_ulcer_dressing,Diabetic foot ulcer dressing,Wound & Skin Care,expert,yes,false,99900,80000,from,,,patient,Sanocare,45,Assess & dress diabetic foot ulcer
