slug,page_id
home,10000000-0000-0000-0000-000000000001
services,10000000-0000-0000-0000-000000000002
now,10000000-0000-0000-0000-000000000003
carehub,10000000-0000-0000-0000-000000000004
contact,10000000-0000-0000-0000-000000000005
research,10000000-0000-0000-0000-000000000006
about,10000000-0000-0000-0000-000000000007
blog,10000000-0000-0000-0000-000000000008
portal,10000000-0000-0000-0000-000000000009
not-found,10000000-0000-0000-0000-000000000010
coming-soon,10000000-0000-0000-0000-000000000011
shared,10000000-0000-0000-0000-000000000012
